Structure,Optimizer,TunedParameter,OptimizedParameterRange,BuildMean(ms),BuildHalfRange(ms),QueryMean(ms),QueryHalfRange(ms),MemoryMean(KB),MemoryHalfRange(KB),BuildRank,QueryRank,MemoryRank,Notes
FQA,ABC,K,4,7.9908,0.1096,5.5545,0.5526,3867.2,0.0,7,7,7,Selected lower-bound pivot count.
FQA,PSO,K,4,9.7221,0.9668,6.1406,0.1097,3867.2,0.0,9,9,9,Selected lower-bound pivot count.
FQA,GWO,K,4--5,8.1162,0.0598,6.0425,0.9893,3867.21,0.01,8,8,8,Selected near lower-bound pivot count.
HBSI,ABC,C,94--182,2.0726,0.0112,0.1868,0.0073,826.31,2.0,5,2,5,Hash-bucketed exact-match registration-number lookup.
HBSI,PSO,C,53--203,2.2372,0.2184,0.1933,0.0159,830.31,6.0,6,3,6,Hash-bucketed exact-match registration-number lookup.
HBSI,GWO,C,107--207,2.0427,0.1072,0.1724,0.005,826.31,2.0,4,1,4,Lowest observed query time under hit-only exact-match workload.
Burst Trie,ABC,THR,105--112,1.5756,0.0776,1.408,0.0029,626.14,2.86,2,4,1,Lowest observed tuned memory footprint.
Burst Trie,PSO,THR,178--191,1.3195,0.054,1.9083,0.2081,630.13,5.5,1,5,2,Lowest observed build time.
Burst Trie,GWO,THR,148--160,1.6214,0.0052,1.931,0.0374,646.15,5.04,3,6,3,Low build variance across trials.
